,convp-tval,convp-pval,convr-tval,convr-pval
layouts/contestClassic.lay,-8.22118639250652,5.1105725911361503e-11,16.24454659285569,1.93492091928091e-21
layouts/dense_complex.lay,-9.135121481721397,2.2455823266647046e-12,60.853237262706145,2.1411555104841307e-47
layouts/dense_simple.lay,-1.5975894866685092,0.058348746141600766,-1.4697428642303814,0.9259220197295107
layouts/mediumClassic.lay,-6.594594340127863,1.5394662937842567e-08,13.691286549787183,1.696284209287398e-18
layouts/medium_complex.lay,-6.256062095409919,5.0875852327249694e-08,84.85889319895274,2.900561397962303e-54
layouts/powerClassic.lay,-12.273132220570997,1.0282359008251642e-16,22.025004860645193,4.830875052081547e-27
layouts/sparse_complex.lay,-12.993357025030273,1.2387388323629441e-17,86.89620721006024,9.355153853451389e-55
layouts/sparse_simple.lay,-7.261714653574431,1.4611800459400662e-09,12.161198071502964,1.4372397337282376e-16
layouts/trickyClassic.lay,-11.626039977042723,7.28725454778318e-16,76.46807552742032,4.142492936971314e-52
